,section_title,raw_text
0,Contents," 
Tier 2 and 5: Guidance for Sponsors - Addendum ..................................................... 1 
"
1,About this guidance,"This guidance is for organisations who want to apply for a sponsor licence to 
sponsor migrants under Tier 2 and/or Tier 5 of the points-based system. It 
tells you what we expect if you are a licence holder, the processes you must 
follow when sponsoring a migrant and how to meet all of the duties and 
responsibilities associated with being a licensed sponsor. The guidance is 
subject to change and you should check the dates to make sure you have 
the latest version. 
 
A new points-based immigration system will come into effect from 1 January 
2021. The future system will apply to both European Economic Area (EEA) 
nationals and non-EEA nationals. You should refer to Annex 9 of this 
guidance if you intend to apply for a licence to sponsor workers under the 
new system.  
 
Separate guidance exists on GOV.UK for UK education providers who wish 
to apply for and hold a licence to sponsor international students to come to 
the UK under Tier 4 to study. 
 
You can find the appendices mentioned in this guidance under sponsorship policy 
guidance on the ‘Guidance for employers and educators' page on GOV.UK. 
 
"
2,Contacts,"If you think that the guidance has factual errors or broken links, email the Business 
Helpdesk. 
 
"
3,Clearance and publication,"Below is information on when this version of the guidance was cleared for 
publication: 
 
•  version 07/20 
•  cleared for publication on 16 July 2020 
 
"
4,Glossary,"Phrase 
We or Us 
You or Your 
Meaning 
The Home Office 
 
The sponsor organisation or prospective sponsor 
organisation including any: 
 
•  owner 
•  director 
•  authorising officer 
•  key contact 
•  level 1 user 
•  person involved in your day to day running 
 
Page 11 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
Phrase 
Relevant offence 
Meaning 
Any offence under: 
 
Settled worker 
 
A person who:  
 
•  the Immigration Act 1971 
•  the Immigration Act 1988 
•  the Immigration Act 2014 
•  the Asylum and Immigration Appeals Act 1993 
•  the Immigration and Asylum Act 1999 
•  the Nationality, Immigration and Asylum Act 2002 
•  the Immigration, Nationality and Asylum Act 2006 
•  the UK Borders Act 2007 
•  trafficking for exploitation 
•  any offence listed in Appendix B of the guidance 
for sponsors 
•  any offences of: 
o  espionage/terrorism 
o  dishonesty (theft, corruption, deception and 
fraud) 
o  bribery 
o  proceeds of crime 
o  money laundering 
o  abuse and neglect of children 
•  any offence listed under Class A (homicide, 
manslaughter and related grave offences) in 
Annex 1B: List of offences in class order as 
defined by the Crown Prosecution Service 
•  any offence listed in Annex 7 of this guidance 
•  is a British citizen or an Irish citizen 
•  has a ‘right to reside’ in the UK under the 
Immigration (European Economic Area) 
Regulations 2016 (as amended) – this includes 
nationals of a European Economic Area (EEA) 
Member State or of Switzerland and their family 
members, as specified in those Regulations 
•  is a British overseas territories citizen, except 
those from Sovereign Base Areas in Cyprus; 
territories included are:  
o  Anguilla  
o  Bermuda  
o  British Antarctic Territory  
o  British Virgin Islands  
o  British Indian Ocean Islands  
o  Cayman Islands  
o  Falkland Islands and dependencies  
o  Gibraltar  
o  Montserrat  
Page 12 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
Phrase 
Meaning 
o  Pitcairn Islands  
o  St. Helena and dependencies  
o  Turks and Caicos Islands 
•  is a Commonwealth citizen who has been allowed 
to enter or remain in the UK under the ‘UK 
ancestry’ provisions in Part 5 of the Immigration 
Rules on the basis that a grandparent of theirs 
was born in the UK and Islands – note that, for 
immigration purposes, citizens of Zimbabwe are 
considered to be Commonwealth citizens 
•  otherwise has settled status in the UK within the 
meaning of section 33 of the Immigration Act 1971 
(as amended from time to time) – this includes: 
o  Commonwealth citizens with the ‘right of 
abode’ in the UK 
o  persons of any nationality who have been 
granted ‘indefinite leave to enter or remain’ in 
the UK (including ‘settled status’ under the 
EU Settlement Scheme) 
 
Note: you have a legal responsibility to check that your 
employees or prospective employees have the legal 
right to work in the UK and do the work in question: see 
‘Right to work checks: an employer’s guide’ on GOV.UK 
for detailed guidance on how to make these checks. 
 
Any day other than: 
 
•  a Saturday  
•  a Sunday 
•  bank holiday – see UK bank holidays guidance on 
GOV.UK 
 
UK Visas and Immigration, an operational command of 
the Home Office 
 
Working days 
UKVI 
 
"
5,Migrant information,"If you intend to sponsor migrants under Tier 2 or Tier 5, you may need to check how 
much time they may be allowed to spend in the UK and any other restrictions that 
may apply to migrants coming to the UK under these tiers. The Tier 2 and Tier 5 
policy guidance for migrants and Part 6A of the Immigration Rules on GOV.UK have 
more information on this. 
 
"
6,Guidance on sponsor processes,"Information on how to complete a certificate of sponsorship, including how to 
complete an application for a restricted certificate of sponsorship under Tier 2 
Page 13 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
(General), can be found in ‘Using the sponsorship management system (SMS): 
certificates of sponsorship’ on GOV.UK. 
 
"
7,Using a representative,"A representative is a:  
 
•  person who is qualified to provide immigration advice or services in accordance 
with section 84 of the Immigration and Asylum Act 1999 (as amended from time 
to time) by being:  
o  regulated by the Office of the Immigration Services Commissioner (OISC)  
o  exempt by ministerial order from the requirement to be regulated 
o  otherwise compliant with section 84 
•  regulated member of a designated professional body or designated qualifying 
regulator, or working under the supervision of such a person – for the purposes 
of the Immigration and Asylum Act 1999, the designated bodies and regulators 
are the: 
o  Legal Services Board (which has oversight of the Law Society, the 
Chartered Institute of Legal Executives, and the Bar Council) 
o  Law Society of Scotland 
o  Law Society of Northern Ireland 
o  Bar Council of Northern Ireland 
o  Faculty of Advocates 
 
You can use the services of a representative to act on your behalf. A representative 
must meet our definition above and be based in the UK.  
 
If they act on your behalf without being ‘qualified’ under the Immigration and Asylum 
Act 1999, they may be committing a criminal offence.  
 
Anyone compliant with section 84 through exemption by ministerial order still has to 
comply with the OISC code of standards.  
 
The ‘Office of the Immigration Services Commissioner (OISC)’ page on GOV.UK has 
more information and links to websites for solicitors, advocates, barristers, legal 
executives and the Community Legal Service. 
 
"
8,Changes from last version of this guidance,"This guidance has been updated to:  
 
•  provide information on sponsoring specified health workers under the ‘Health 
and Care Visa’ 
•  clarify that sports clubs applying for a licence under the Tier 2 or 5 sporting 
provisions must be based in the UK 
•  other minor amendments 
 
Details of the changes are set out in the table below.  
 
Page 14 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
Paragraph 
number in this 
version 
4.6 
Paragraph 
number in 
previous version 
4.6 
Details of change 
Clarification that overseas-based sports 
clubs are not eligible to apply for a 
licence under the Tier 2 and 5 sporting 
provisions. 
Reference to Health and Care Visa 
added. Subsequent paragraphs in this 
section renumbered accordingly. 
New paragraphs describing the Health 
and Care Visa and the information 
sponsors must give when assigning a 
certificate of sponsorship for this visa. 
Subsequent paragraphs in this section 
renumbered accordingly. 
Sub-heading added before paragraph. 
Minor amendment to paragraph below 
bullet points. 
Minor formatting and house-keeping 
changes. 
15.16 
N/A 
29.3 to 29.7 
N/A 
29.8 
29.3 
Elsewhere 
Elsewhere 
 
Related content 
Contents 
Page 15 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
 
 
 
1  Applying for a licence 
 
What is sponsorship? 
1. 
Tiers 2 and 5 of the points-based system are the primary immigration routes 
for non-European Economic Area (EEA) migrants who wish to work in the UK. 
These migrants must be sponsored by an organisation or company that holds 
a Tier 2 and/or Tier 5 licence. A licence is a permission given to an 
organisation to sponsor workers in its business. The organisation is known as 
a sponsor. Individual persons are not recognised as sponsors.  
Note: a new points-based immigration system will come into effect from 1 
January 2021. This new system will apply to both EEA and non-EEA workers. 
If you intend to sponsor migrant workers under this new system, you should 
refer to Annex 9 of this guidance. 
 
1.1  Sponsorship is based on 2 principles: 
 
•  those who benefit most directly from migration; employers, education 
providers or other bodies who are bringing in migrants, should play their 
part in ensuring the system is not abused 
•  we need to make sure that those applying to come to the UK for work or to 
study are eligible and that a reputable employer or education provider 
genuinely wishes to take them on 
1.2  A migrant must have a sponsor before they can apply to come to, or remain in, 
the UK for work.  
 
1.3  Sponsorship plays 2 main roles in a migrant’s application for permission to 
come to, or remain in, the UK to work: 
 
•  where appropriate, it provides evidence that the migrant will fill a genuine 
vacancy that cannot be filled with a suitably qualified or skilled settled 
worker 
•  it involves a pledge from the sponsor that it accepts all of the duties 
expected when sponsoring the migrant 
1.4  When a sponsor is granted a Tier 2 or Tier 5 licence, significant trust is placed 
in them. With this trust comes a responsibility to act in accordance with the 
Immigration Rules and all parts of the Tiers 2 and 5: guidance for sponsors. 
We have a duty to ensure that all sponsors discharge these responsibilities 
and will take compliance action when it is considered that a sponsor has failed 
to do so, or otherwise poses a risk to immigration control. The ‘Sponsor duties’ 
section has more information on the duties sponsors must fulfil.  
 
1.5  When considering your licence application, we need to establish 4 things: 
 
  
 
Page 16 of 209  
 
Tiers 2 and 5: guidance for sponsors - version 07/20 
"
9,Applying for a licence,
